address,price,extPrice,area,room,toilet,hDirection,bDirection
"Dự án Dream Home, Phố Hoàng Thế Thiện, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng","4,75 tỷ","~36,54 triệu/m²",130 m²,,,,
"Phường An Khê, Thanh Khê, Đà Nẵng","6,45 tỷ","~61,43 triệu/m²",105 m²,Tây - Nam,Tây - Nam,5 m,7.5 m
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",18 tỷ,~72 triệu/m²,250 m²,,,,
"Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","2,45 tỷ","~24,5 triệu/m²",100 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,5 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,75 m²,2 phòng,2 phòng,Đông - Bắc,Đông - Bắc
"Đường 30/4, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",150 triệu/m²,"~128,34 tỷ","855,6 m²",,,Đông - Bắc,
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,9 tỷ","~25,33 triệu/m²",75 m²,2 phòng,2 phòng,Tây - Nam,Đông - Bắc
"95, Phố Nguyễn Xí, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","6,09 tỷ","~48,72 triệu/m²",125 m²,Đông - Bắc,4 tầng,5 m,7.5 m
"Kiệt 82, Đường Nguyễn Văn Linh, Phường Nam Dương, Hải Châu, Đà Nẵng","5,65 tỷ","~40,36 triệu/m²",140 m²,Tây,3 phòng,7 m,3.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng.","4,61 tỷ","~56,18 triệu/m²",82 m²,2 phòng,2 phòng,Đông,Đông
"Đường Núi Thành, Phường Hòa Thuận Đông, Hải Châu, Đà Nẵng",,,,,,,
"Dự án The Filmore Da Nang, Đường Bạch Đằng, Phường Bình Thuận, Hải Châu, Đà Nẵng","9,31 tỷ","~130,57 triệu/m²","71,3 m²",Sổ đỏ/ Sổ hồng,Cơ bản,2 phòng,2 phòng
"Đường Lương Thế Vinh, Phường An Hải Đông, Sơn Trà, Đà Nẵng",10 tỷ,"~61,73 triệu/m²",162 m²,Đông - Bắc,Sổ đỏ/ Sổ hồng,6.2 m,11 m
"Dự án Nam Cầu Tuyên Sơn-Nam Việt Á, Đường Đoàn Khuê, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,132 m²,Sổ đỏ/ Sổ hồng,,11 m,Đông - Nam
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","3,9 tỷ","~10,83 triệu/m²",360 m²,,,7.5 m,
"Dự án Sun Cosmo Residence, Quận Ngũ Hành Sơn, Đà Nẵng","1,5 tỷ","~51,72 triệu/m²",29 m²,1 phòng,1 phòng,Đông - Nam,Đông - Nam
"Kiệt 42, Đường Núi Thành, Phường Hòa Thuận Đông, Hải Châu, Đà Nẵng","6,7 tỷ","~82,72 triệu/m²",81 m²,Tây - Nam,3 tầng,4.5 m,4.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,"105,5 m²",Đầy đủ,,3 phòng,Sổ đỏ/ Sổ hồng
"Phố Lý Thường Kiệt, Phường Thạch Thang, Hải Châu, Đà Nẵng",256 tỷ,"~170,67 triệu/m²",1.500 m²,,,,
"Dự án The Monarchy, Đường An Trung 2, Phường An Hải Tây, Sơn Trà, Đà Nẵng","2,45 tỷ","~33,56 triệu/m²",73 m²,,,2 phòng,2 phòng
"Đường Quốc lộ 1A, Xã Hòa Phước, Hòa Vang, Đà Nẵng","3,8 tỷ","~21,47 triệu/m²",177 m²,Tây,,5.5 m,35 m
"Đường Hòa Liên 5, Xã Hòa Liên, Hòa Vang, Đà Nẵng","1,55 tỷ","~15,5 triệu/m²",100 m²,,,,
"Dự án Dream Home, Phố Hoàng Thế Thiện, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng","4,75 tỷ","~36,54 triệu/m²",130 m²,,,,
"586/3, Đường Điện Biên Phủ, Phường Thanh Khê Đông, Thanh Khê, Đà Nẵng","5,85 tỷ","~47,56 triệu/m²",123 m²,4 tầng,13 phòng,5 m,2.5 m
"Đường Chu Huy Mân, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",5 tỷ,"~56,18 triệu/m²",89 m²,Sổ đỏ chính chủ,,5 m,15 m
"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Thỏa thuận,,600 m²,,,,
"Đường Võ Văn Kiệt, Phường An Hải Đông, Sơn Trà, Đà Nẵng",Thỏa thuận,,2.000 m²,,,,
"K196/75, Đường Trần Cao Vân, Phường Tam Thuận, Thanh Khê, Đà Nẵng","6,2 tỷ","~44,29 triệu/m²",140 m²,Đông,Sổ đỏ/ Sổ hồng,8.4 m,5.5 m
